TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 1565   0.950000   0.150000          0.0034    0.003598
 1606   0.975000   0.150000          0.0010    0.001805
 1647   1.000000   0.150000          0.0000    0.000000
 8   0.000000   0.175000          0.0000    0.000000
 49   0.025000   0.175000          0.0011    0.002077
 90   0.050000   0.175000          0.0038    0.004141
 131   0.075000   0.175000          0.0052    0.006179
 172   0.100000   0.175000          0.0077    0.008180
 213   0.125000   0.175000          0.0091    0.010130
 254   0.150000   0.175000          0.0114    0.012017
 295   0.175000   0.175000          0.0128    0.013831
 336   0.200000   0.175000          0.0148    0.015559
 377   0.225000   0.175000          0.0161    0.017191
 418   0.250000   0.175000          0.0178    0.018717
 459   0.275000   0.175000          0.0190    0.020128
 500   0.300000   0.175000          0.0204    0.021415
 541   0.325000   0.175000          0.0214    0.022569
 582   0.350000   0.175000          0.0225    0.023585
 623   0.375000   0.175000          0.0232    0.024455
 664   0.400000   0.175000          0.0241    0.025175
 705   0.425000   0.175000          0.0245    0.025739
 746   0.450000   0.175000          0.0250    0.026144
 787   0.475000   0.175000          0.0251    0.026388
 828   0.500000   0.175000          0.0253    0.026470
 869   0.525000   0.175000          0.0251    0.026388
 910   0.550000   0.175000          0.0250    0.026144
 951   0.575000   0.175000          0.0245    0.025739
 992   0.600000   0.175000          0.0241    0.025175
 1033   0.625000   0.175000          0.0232    0.024455
 1074   0.650000   0.175000          0.0225    0.023585
 1115   0.675000   0.175000          0.0214    0.022569
 1156   0.700000   0.175000          0.0204    0.021415
 1197   0.725000   0.175000          0.0190    0.020128
 1238   0.750000   0.175000          0.0178    0.018717
 1279   0.775000   0.175000          0.0161    0.017191
 1320   0.800000   0.175000          0.0148    0.015559
 1361   0.825000   0.175000          0.0128    0.013831
 1402   0.850000   0.175000          0.0114    0.012017
 1443   0.875000   0.175000          0.0091    0.010130
 1484   0.900000   0.175000          0.0077    0.008180
 1525   0.925000   0.175000          0.0052    0.006179
 1566   0.950000   0.175000          0.0038    0.004141
 1607   0.975000   0.175000          0.0011    0.002077
 1648   1.000000   0.175000          0.0000    0.000000
 9   0.000000   0.200000          0.0000    0.000000
 50   0.025000   0.200000          0.0012    0.002336
 91   0.050000   0.200000          0.0044    0.004658
 132   0.075000   0.200000          0.0060    0.006951
 173   0.100000   0.200000          0.0089    0.009202
 214   0.125000   0.200000          0.0105    0.011395
 255   0.150000   0.200000          0.0131    0.013519
 296   0.175000   0.200000          0.0148    0.015559
 337   0.200000   0.200000          0.0171    0.017503
 378   0.225000   0.200000          0.0186    0.019339
 419   0.250000   0.200000          0.0206    0.021056
 460   0.275000   0.200000          0.0219    0.022643
 501   0.300000   0.200000          0.0236    0.024091
 542   0.325000   0.200000          0.0247    0.025390
 583   0.350000   0.200000          0.0260    0.026532
 624   0.375000   0.200000          0.0268    0.027511
 665   0.400000   0.200000          0.0278    0.028320
 706   0.425000   0.200000          0.0283    0.028955
 747   0.450000   0.200000          0.0288    0.029411
 788   0.475000   0.200000          0.0290    0.029686
 829   0.500000   0.200000          0.0292    0.029778
 870   0.525000   0.200000          0.0290    0.029686
 911   0.550000   0.200000          0.0288    0.029411
 952   0.575000   0.200000          0.0283    0.028955
 993   0.600000   0.200000          0.0278    0.028320
 1034   0.625000   0.200000          0.0268    0.027511
 1075   0.650000   0.200000          0.0260    0.026532
 1116   0.675000   0.200000          0.0247    0.025390
 1157   0.700000   0.200000          0.0236    0.024091
 1198   0.725000   0.200000          0.0219    0.022643
 1239   0.750000   0.200000          0.0206    0.021056
 1280   0.775000   0.200000          0.0186    0.019339
 1321   0.800000   0.200000          0.0171    0.017503
 1362   0.825000   0.200000          0.0148    0.015559
 1403   0.850000   0.200000          0.0131    0.013519
 1444   0.875000   0.200000          0.0105    0.011395
 1485   0.900000   0.200000          0.0089    0.009202
 1526   0.925000   0.200000          0.0060    0.006951
 1567   0.950000   0.200000          0.0044    0.004658
 1608   0.975000   0.200000          0.0012    0.002336
 1649   1.000000   0.200000          0.0000    0.000000
 10   0.000000   0.225000          0.0000    0.000000
 51   0.025000   0.225000          0.0013    0.002581
 92   0.050000   0.225000          0.0048    0.005147
 133   0.075000   0.225000          0.0065    0.007681
 174   0.100000   0.225000          0.0097    0.010167
 215   0.125000   0.225000          0.0115    0.012591
 256   0.150000   0.225000          0.0143    0.014937
 297   0.175000   0.225000          0.0161    0.017191
 338   0.200000   0.225000          0.0186    0.019339
 379   0.225000   0.225000          0.0203    0.021368
 420   0.250000   0.225000          0.0224    0.023265
